"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-29","0.01",,,"44","52","35","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-30","0.00",,,"48","58","37",,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-03-31","0.00",,,"52","62","41",,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-01","0.00",,,"55","64","45",,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-02","0.00",,,"53","63","43","    1",,,,,,,,,,"    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-03","0.00",,,"56","68","44","    1",,,,,,,,,,"    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-04","0.00",,,"47","54","39","    1",,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-05","0.02",,,"45","49","40",,,,,,,,,,,,,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-06","0.12",,,"45","50","39","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-07","0.00",,,"49","59","38",,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-08","0.00",,,"52","62","42",,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-09","0.00",,,"51","55","46",,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-10","0.00",,,"53","63","42",,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-11","0.00",,,"57","68","45",,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2000-04-12","0.00",,,"58","67","48",,,,,,,,,,,,,,"    1",,,,,
